Species,Sample,Image,Event,Tank,Treatment,size..mm.,Date,Month
Hydrobia,SF131,3,2,C3,amb,3.806746988,2022-05-24,May
Hydrobia,SF131,3,2,C3,amb,4.454096386,2022-05-24,May
Hydrobia,SF131,3,2,C3,amb,4.464578313,2022-05-24,May
Hydrobia,SF131,3,2,C3,amb,4.068795181,2022-05-24,May
Hydrobia,SF131,3,2,C3,amb,3.218192771,2022-05-24,May
Hydrobia,SF131,3,2,C3,amb,4.217710843,2022-05-24,May
Hydrobia,SF131,3,2,C3,amb,4.568072289,2022-05-24,May
Hydrobia,SF131,3,2,C3,amb,2.881445783,2022-05-24,May
Hydrobia,SF131,3,2,C3,amb,4.731686747,2022-05-24,May
Hydrobia,SF131,3,2,C3,amb,2.86060241,2022-05-24,May
Hydrobia,SF131,3,2,C3,amb,5.692771084,2022-05-24,May
Hydrobia,SF131,3,2,C3,amb,3.128915663,2022-05-24,May
Hydrobia,SF131,3,2,C3,amb,4.571445783,2022-05-24,May
Hydrobia,SF131,3,2,C3,amb,2.866385542,2022-05-24,May
Hydrobia,SF131,3,2,C3,amb,4.191807229,2022-05-24,May
Hydrobia,SF131,3,2,C3,amb,4.538313253,2022-05-24,May
Hydrobia,SF131,3,2,C3,amb,4.72313253,2022-05-24,May
Hydrobia,SF131,3,2,C3,amb,3.407710843,2022-05-24,May
Hydrobia,SF131,3,2,C3,amb,4.191566265,2022-05-24,May
Hydrobia,SF131,3,2,C3,amb,4.193373494,2022-05-24,May
Hydrobia,SF131,3,2,C3,amb,4.379759036,2022-05-24,May
Hydrobia,SF131,3,2,C3,amb,4.908795181,2022-05-24,May
Hydrobia,SF131,3,2,C3,amb,4.821204819,2022-05-24,May
Hydrobia,SF131,3,2,C3,amb,3.799277108,2022-05-24,May
Hydrobia,SF131,3,2,C3,amb,3.916385542,2022-05-24,May
Hydrobia,SF131,3,2,C3,amb,4.655060241,2022-05-24,May
Hydrobia,SF131,3,2,C3,amb,4.144096386,2022-05-24,May
Hydrobia,SF131,3,2,C3,amb,4.448674699,2022-05-24,May
Hydrobia,SF131,3,2,C3,amb,4.064337349,2022-05-24,May
Hydrobia,SF131,4,2,C3,amb,4.045421687,2022-05-24,May
Hydrobia,SF131,4,2,C3,amb,3.612891566,2022-05-24,May
Hydrobia,SF131,4,2,C3,amb,3.512650602,2022-05-24,May
Hydrobia,SF131,4,2,C3,amb,3.127349398,2022-05-24,May
Hydrobia,SF131,4,2,C3,amb,2.582771084,2022-05-24,May
Hydrobia,SF131,4,2,C3,amb,4.363493976,2022-05-24,May
Hydrobia,SF131,4,2,C3,amb,3.151686747,2022-05-24,May
Hydrobia,SF131,4,2,C3,amb,4.055180723,2022-05-24,May
Hydrobia,SF131,4,2,C3,amb,2.430120482,2022-05-24,May
Hydrobia,SF131,4,2,C3,amb,3.964337349,2022-05-24,May
Hydrobia,SF131,4,2,C3,amb,3.346385542,2022-05-24,May
Hydrobia,SF131,4,2,C3,amb,2.869638554,2022-05-24,May
Hydrobia,SF131,4,2,C3,amb,3.385180723,2022-05-24,May
Hydrobia,SF131,4,2,C3,amb,3.11686747,2022-05-24,May
Hydrobia,SF131,4,2,C3,amb,3.499518072,2022-05-24,May
Hydrobia,SF131,4,2,C3,amb,3.757951807,2022-05-24,May
Hydrobia,SF131,4,2,C3,amb,3.368433735,2022-05-24,May
Hydrobia,SF131,4,2,C3,amb,4.162650602,2022-05-24,May
Hydrobia,SF131,4,2,C3,amb,4.19746988,2022-05-24,May
Hydrobia,SF131,4,2,C3,amb,3.939277108,2022-05-24,May
Hydrobia,SF131,4,2,C3,amb,4.557951807,2022-05-24,May
Hydrobia,SF131,4,2,C3,amb,3.735783133,2022-05-24,May
Hydrobia,SF131,4,2,C3,amb,4.022409639,2022-05-24,May
Hydrobia,SF131,4,2,C3,amb,4.466987952,2022-05-24,May
Hydrobia,SF131,5,2,C3,amb,4.596506024,2022-05-24,May
Hydrobia,SF131,5,2,C3,amb,4.530240964,2022-05-24,May
Hydrobia,SF131,5,2,C3,amb,4.424939759,2022-05-24,May
Hydrobia,SF131,5,2,C3,amb,3.778313253,2022-05-24,May
Hydrobia,SF131,5,2,C3,amb,3.667228916,2022-05-24,May
Hydrobia,SF131,5,2,C3,amb,6.037831325,2022-05-24,May
Hydrobia,SF131,5,2,C3,amb,2.944939759,2022-05-24,May
Hydrobia,SF131,5,2,C3,amb,3.998072289,2022-05-24,May
Hydrobia,SF131,5,2,C3,amb,5.114939759,2022-05-24,May
Hydrobia,SF131,5,2,C3,amb,3.920963855,2022-05-24,May
Hydrobia,SF131,5,2,C3,amb,4.342891566,2022-05-24,May
Hydrobia,SF131,5,2,C3,amb,4.285180723,2022-05-24,May
Hydrobia,SF131,5,2,C3,amb,2.935783133,2022-05-24,May
Hydrobia,SF131,5,2,C3,amb,3.797951807,2022-05-24,May
Hydrobia,SF131,5,2,C3,amb,4.855421687,2022-05-24,May
Hydrobia,SF131,5,2,C3,amb,3.098433735,2022-05-24,May
Hydrobia,SF131,5,2,C3,amb,4.436987952,2022-05-24,May
Hydrobia,SF131,5,2,C3,amb,4.979518072,2022-05-24,May
Hydrobia,SF131,5,2,C3,amb,4.721204819,2022-05-24,May
Hydrobia,SF131,5,2,C3,amb,3.639879518,2022-05-24,May
Hydrobia,SF131,5,2,C3,amb,3.057590361,2022-05-24,May
Hydrobia,SF131,5,2,C3,amb,4.270963855,2022-05-24,May
Hydrobia,SF131,5,2,C3,amb,1.99939759,2022-05-24,May
Hydrobia,SF131,5,2,C3,amb,6.977108434,2022-05-24,May
Hydrobia,SF131,5,2,C3,amb,2.759036145,2022-05-24,May
Hydrobia,SF131,5,2,C3,amb,4.048313253,2022-05-24,May
Hydrobia,SF131,5,2,C3,amb,4.554337349,2022-05-24,May
Hydrobia,SF131,5,2,C3,amb,5.26686747,2022-05-24,May
Hydrobia,SF131,5,2,C3,amb,3.822168675,2022-05-24,May
Hydrobia,SF131,5,2,C3,amb,4.54373494,2022-05-24,May
Hydrobia,SF131,5,2,C3,amb,4.905421687,2022-05-24,May
Hydrobia,SF131,5,2,C3,amb,4.513253012,2022-05-24,May
Hydrobia,SF131,5,2,C3,amb,4.137349398,2022-05-24,May
Hydrobia,SF131,5,2,C3,amb,5.553975904,2022-05-24,May
Hydrobia,SF131,6,2,C3,amb,4.009036145,2022-05-24,May
Hydrobia,SF131,6,2,C3,amb,4.347831325,2022-05-24,May
Hydrobia,SF131,6,2,C3,amb,4.23060241,2022-05-24,May
Hydrobia,SF131,6,2,C3,amb,4.41060241,2022-05-24,May
Hydrobia,SF131,6,2,C3,amb,4.561807229,2022-05-24,May
Hydrobia,SF131,6,2,C3,amb,3.81686747,2022-05-24,May
Hydrobia,SF131,6,2,C3,amb,4.02686747,2022-05-24,May
Hydrobia,SF131,6,2,C3,amb,3.547228916,2022-05-24,May
Hydrobia,SF131,6,2,C3,amb,4.126144578,2022-05-24,May
Hydrobia,SF131,6,2,C3,amb,4.391325301,2022-05-24,May
Hydrobia,SF131,6,2,C3,amb,5.182771084,2022-05-24,May
Hydrobia,SF131,6,2,C3,amb,4.106506024,2022-05-24,May
Hydrobia,SF131,6,2,C3,amb,2.774819277,2022-05-24,May
Hydrobia,SF131,6,2,C3,amb,3.891566265,2022-05-24,May
Hydrobia,SF131,6,2,C3,amb,5.026144578,2022-05-24,May
Hydrobia,SF131,6,2,C3,amb,4.746987952,2022-05-24,May
Hydrobia,SF131,6,2,C3,amb,4.680722892,2022-05-24,May
Hydrobia,SF131,6,2,C3,amb,4.240963855,2022-05-24,May
Hydrobia,SF131,6,2,C3,amb,4.879156627,2022-05-24,May
Hydrobia,SF131,6,2,C3,amb,5.295783133,2022-05-24,May
Hydrobia,SF131,6,2,C3,amb,4.614698795,2022-05-24,May
Hydrobia,SF131,6,2,C3,amb,4.780963855,2022-05-24,May
Hydrobia,SF131,6,2,C3,amb,4.459879518,2022-05-24,May
Hydrobia,SF131,6,2,C3,amb,1.821325301,2022-05-24,May
Hydrobia,SF131,6,2,C3,amb,2.373975904,2022-05-24,May
Hydrobia,SF131,6,2,C3,amb,4.34060241,2022-05-24,May
Hydrobia,SF131,6,2,C3,amb,4.501686747,2022-05-24,May
Hydrobia,SF131,6,2,C3,amb,5.518915663,2022-05-24,May
Hydrobia,SF131,6,2,C3,amb,4.41939759,2022-05-24,May
Hydrobia,SF131,6,2,C3,amb,4.098192771,2022-05-24,May
Hydrobia,SF131,6,2,C3,amb,6.423855422,2022-05-24,May
Hydrobia,SF131,6,2,C3,amb,4.911807229,2022-05-24,May
Hydrobia,SF131,6,2,C3,amb,5.494216867,2022-05-24,May
Hydrobia,SF131,6,2,C3,amb,4.943253012,2022-05-24,May
Hydrobia,SF131,7,2,C3,amb,2.33746988,2022-05-24,May
Hydrobia,SF131,7,2,C3,amb,3.251686747,2022-05-24,May
Hydrobia,SF131,7,2,C3,amb,3.303012048,2022-05-24,May
Hydrobia,SF131,7,2,C3,amb,3.305180723,2022-05-24,May
Hydrobia,SF131,7,2,C3,amb,3.836746988,2022-05-24,May
Hydrobia,SF131,7,2,C3,amb,4.327831325,2022-05-24,May
Hydrobia,SF131,7,2,C3,amb,4.230120482,2022-05-24,May
Hydrobia,SF131,7,2,C3,amb,3.087951807,2022-05-24,May
Hydrobia,SF131,7,2,C3,amb,4.674819277,2022-05-24,May
Hydrobia,SF131,7,2,C3,amb,4.25686747,2022-05-24,May
Hydrobia,SF131,7,2,C3,amb,3.794698795,2022-05-24,May
Hydrobia,SF131,7,2,C3,amb,4.475903614,2022-05-24,May
Hydrobia,SF131,7,2,C3,amb,3.758554217,2022-05-24,May
Hydrobia,SF131,7,2,C3,amb,2.85,2022-05-24,May
Hydrobia,SF131,7,2,C3,amb,4.094819277,2022-05-24,May
Hydrobia,SF131,7,2,C3,amb,4.22253012,2022-05-24,May
Hydrobia,SF131,7,2,C3,amb,5.022771084,2022-05-24,May
Hydrobia,SF131,7,2,C3,amb,3.824457831,2022-05-24,May
Hydrobia,SF131,7,2,C3,amb,5.021445783,2022-05-24,May
Hydrobia,SF131,7,2,C3,amb,3.843373494,2022-05-24,May
Hydrobia,SF131,7,2,C3,amb,4.078554217,2022-05-24,May
Hydrobia,SF131,7,2,C3,amb,3.586144578,2022-05-24,May
Hydrobia,SF131,7,2,C3,amb,4.177831325,2022-05-24,May
Hydrobia,SF131,7,2,C3,amb,3.789879518,2022-05-24,May
Hydrobia,SF131,7,2,C3,amb,4.585180723,2022-05-24,May
Hydrobia,SF131,7,2,C3,amb,4.959156627,2022-05-24,May
Hydrobia,SF131,7,2,C3,amb,2.33,2022-05-24,May
Hydrobia,SF131,7,2,C3,amb,4.053855422,2022-05-24,May
Hydrobia,SF131,7,2,C3,amb,4.281686747,2022-05-24,May
Hydrobia,SF131,7,2,C3,amb,3.997590361,2022-05-24,May
Hydrobia,SF131,7,2,C3,amb,4.271566265,2022-05-24,May
Hydrobia,SF131,7,2,C3,amb,3.406987952,2022-05-24,May
Hydrobia,SF131,7,2,C3,amb,4.557349398,2022-05-24,May
Hydrobia,SF131,7,2,C3,amb,4.79253012,2022-05-24,May
Hydrobia,SF131,7,2,C3,amb,4.796385542,2022-05-24,May
Hydrobia,SF131,7,2,C3,amb,4.355542169,2022-05-24,May
Hydrobia,SF131,7,2,C3,amb,4.587951807,2022-05-24,May
Hydrobia,SF131,8,2,C3,amb,3.831686747,2022-05-24,May
Hydrobia,SF131,8,2,C3,amb,4.466746988,2022-05-24,May
Hydrobia,SF131,8,2,C3,amb,3.992289157,2022-05-24,May
Hydrobia,SF131,8,2,C3,amb,2.668192771,2022-05-24,May
Hydrobia,SF131,8,2,C3,amb,2.29,2022-05-24,May
Hydrobia,SF131,8,2,C3,amb,4.065421687,2022-05-24,May
Hydrobia,SF131,8,2,C3,amb,4.398192771,2022-05-24,May
Hydrobia,SF131,8,2,C3,amb,3.534216867,2022-05-24,May
Hydrobia,SF131,8,2,C3,amb,4.342771084,2022-05-24,May
Hydrobia,SF131,8,2,C3,amb,3.628674699,2022-05-24,May
Hydrobia,SF131,8,2,C3,amb,4.342771084,2022-05-24,May
Hydrobia,SF131,8,2,C3,amb,4.638795181,2022-05-24,May
Hydrobia,SF131,8,2,C3,amb,4.459759036,2022-05-24,May
Hydrobia,SF131,8,2,C3,amb,4.258313253,2022-05-24,May
Hydrobia,SF131,8,2,C3,amb,5.181566265,2022-05-24,May
Hydrobia,SF131,8,2,C3,amb,5,2022-05-24,May
Hydrobia,SF131,8,2,C3,amb,5.446024096,2022-05-24,May
Hydrobia,SF131,8,2,C3,amb,5.391445783,2022-05-24,May
Hydrobia,SF131,8,2,C3,amb,4.84373494,2022-05-24,May
Hydrobia,SF131,8,2,C3,amb,5.060963855,2022-05-24,May
Hydrobia,SF131,8,2,C3,amb,4.686987952,2022-05-24,May
Hydrobia,SF131,8,2,C3,amb,5.205662651,2022-05-24,May
Hydrobia,SF131,8,2,C3,amb,4.361445783,2022-05-24,May
Hydrobia,SF131,8,2,C3,amb,2.524939759,2022-05-24,May
Hydrobia,SF131,8,2,C3,amb,4.320481928,2022-05-24,May
Hydrobia,SF131,8,2,C3,amb,4.365421687,2022-05-24,May
Hydrobia,SF131,8,2,C3,amb,4.161325301,2022-05-24,May
Hydrobia,SF131,8,2,C3,amb,4.716746988,2022-05-24,May
Hydrobia,SF131,8,2,C3,amb,4.529277108,2022-05-24,May
Hydrobia,SF131,8,2,C3,amb,1.87,2022-05-24,May
Hydrobia,SF131,8,2,C3,amb,5.048554217,2022-05-24,May
Hydrobia,SF131,8,2,C3,amb,4.764578313,2022-05-24,May
Hydrobia,SF131,8,2,C3,amb,4.468192771,2022-05-24,May
Hydrobia,SF131,8,2,C3,amb,5.194819277,2022-05-24,May
Hydrobia,SF131,8,2,C3,amb,4.483855422,2022-05-24,May
Hydrobia,SF131,9,2,C3,amb,4.341927711,2022-05-24,May
Hydrobia,SF131,9,2,C3,amb,4.845180723,2022-05-24,May
Hydrobia,SF131,9,2,C3,amb,4.025301205,2022-05-24,May
Hydrobia,SF131,9,2,C3,amb,4.051204819,2022-05-24,May
Hydrobia,SF131,9,2,C3,amb,3.93373494,2022-05-24,May
Hydrobia,SF131,9,2,C3,amb,4.60373494,2022-05-24,May
Hydrobia,SF131,9,2,C3,amb,3.789879518,2022-05-24,May
Hydrobia,SF131,9,2,C3,amb,4.62373494,2022-05-24,May
Hydrobia,SF131,9,2,C3,amb,4.795542169,2022-05-24,May
Hydrobia,SF131,9,2,C3,amb,4.005060241,2022-05-24,May
Hydrobia,SF131,9,2,C3,amb,3.97686747,2022-05-24,May
Hydrobia,SF131,9,2,C3,amb,4.511325301,2022-05-24,May
Hydrobia,SF131,9,2,C3,amb,4.498072289,2022-05-24,May
Hydrobia,SF131,9,2,C3,amb,3.518554217,2022-05-24,May
Hydrobia,SF131,9,2,C3,amb,4.168433735,2022-05-24,May
Hydrobia,SF131,9,2,C3,amb,4.04939759,2022-05-24,May
Hydrobia,SF131,9,2,C3,amb,4.313373494,2022-05-24,May
Hydrobia,SF131,9,2,C3,amb,4.38313253,2022-05-24,May
Hydrobia,SF131,9,2,C3,amb,3.327951807,2022-05-24,May
Hydrobia,SF131,9,2,C3,amb,4.605542169,2022-05-24,May
Hydrobia,SF131,9,2,C3,amb,4.649156627,2022-05-24,May
Hydrobia,SF131,9,2,C3,amb,5.519518072,2022-05-24,May
Hydrobia,SF131,9,2,C3,amb,4.15060241,2022-05-24,May
Hydrobia,SF131,9,2,C3,amb,3.940963855,2022-05-24,May
Hydrobia,SF131,9,2,C3,amb,4.21746988,2022-05-24,May
Hydrobia,SF131,9,2,C3,amb,4.018554217,2022-05-24,May
Hydrobia,SF131,9,2,C3,amb,4.436385542,2022-05-24,May
Hydrobia,SF131,9,2,C3,amb,3.892048193,2022-05-24,May
Hydrobia,SF131,9,2,C3,amb,4.426987952,2022-05-24,May
Hydrobia,SF131,9,2,C3,amb,4.489759036,2022-05-24,May
Hydrobia,SF131,9,2,C3,amb,4.955542169,2022-05-24,May
Hydrobia,SF131,9,2,C3,amb,4.532409639,2022-05-24,May
Hydrobia,SF131,9,2,C3,amb,4.725542169,2022-05-24,May
Hydrobia,SF131,9,2,C3,amb,3.540481928,2022-05-24,May
Hydrobia,SF131,9,2,C3,amb,3.917228916,2022-05-24,May
Hydrobia,SF131,9,2,C3,amb,3.928915663,2022-05-24,May
Hydrobia,SF131,10,2,C3,amb,5.343975904,2022-05-24,May
Hydrobia,SF131,10,2,C3,amb,3.339759036,2022-05-24,May
Hydrobia,SF131,10,2,C3,amb,4.01626506,2022-05-24,May
Hydrobia,SF131,10,2,C3,amb,4.60313253,2022-05-24,May
Hydrobia,SF131,10,2,C3,amb,4.341686747,2022-05-24,May
Hydrobia,SF131,10,2,C3,amb,3.936987952,2022-05-24,May
Hydrobia,SF131,10,2,C3,amb,5.108433735,2022-05-24,May
Hydrobia,SF131,10,2,C3,amb,4.6971084340000004,2022-05-24,May
Hydrobia,SF131,10,2,C3,amb,3.329518072,2022-05-24,May
Hydrobia,SF131,10,2,C3,amb,3.500120482,2022-05-24,May
Hydrobia,SF131,10,2,C3,amb,3.344939759,2022-05-24,May
Hydrobia,SF131,10,2,C3,amb,4.033373494,2022-05-24,May
Hydrobia,SF131,10,2,C3,amb,2.602891566,2022-05-24,May
Hydrobia,SF131,10,2,C3,amb,2.545421687,2022-05-24,May
Hydrobia,SF131,10,2,C3,amb,3.762289157,2022-05-24,May
Hydrobia,SF131,10,2,C3,amb,3.69626506,2022-05-24,May
Hydrobia,SF131,10,2,C3,amb,3.796144578,2022-05-24,May
Hydrobia,SF131,10,2,C3,amb,4.120963855,2022-05-24,May
Hydrobia,SF131,10,2,C3,amb,4.318433735,2022-05-24,May
Hydrobia,SF131,10,2,C3,amb,3.73686747,2022-05-24,May
Hydrobia,SF131,10,2,C3,amb,3.71939759,2022-05-24,May
Hydrobia,SF131,10,2,C3,amb,3.41939759,2022-05-24,May
Hydrobia,SF131,10,2,C3,amb,4.134337349,2022-05-24,May
Hydrobia,SF131,10,2,C3,amb,3.675421687,2022-05-24,May
Hydrobia,SF131,10,2,C3,amb,4.124939759,2022-05-24,May
Hydrobia,SF131,10,2,C3,amb,4.355662651,2022-05-24,May
Hydrobia,SF131,10,2,C3,amb,4.886746988,2022-05-24,May
Hydrobia,SF131,10,2,C3,amb,4.091445783,2022-05-24,May
Hydrobia,SF131,10,2,C3,amb,4.073373494,2022-05-24,May
Hydrobia,SF131,10,2,C3,amb,5.182168675,2022-05-24,May
Hydrobia,SF131,10,2,C3,amb,3.938313253,2022-05-24,May
Hydrobia,SF131,10,2,C3,amb,4.726024096,2022-05-24,May
Hydrobia,SF131,10,2,C3,amb,4.285903614,2022-05-24,May
Hydrobia,SF131,10,2,C3,amb,5.386144578,2022-05-24,May
Hydrobia,SF131,10,2,C3,amb,3.668554217,2022-05-24,May
Hydrobia,SF131,10,2,C3,amb,4.571445783,2022-05-24,May
Hydrobia,SF131,10,2,C3,amb,3.939759036,2022-05-24,May
Hydrobia,SF131,10,2,C3,amb,4.015180723,2022-05-24,May
Hydrobia,SF131,10,2,C3,amb,4.314578313,2022-05-24,May
Hydrobia,SF131,10,2,C3,amb,4.490843373,2022-05-24,May
Hydrobia,SF131,10,2,C3,amb,4.506626506,2022-05-24,May
Hydrobia,SF131,10,2,C3,amb,4.832048193,2022-05-24,May
Hydrobia,SF131,10,2,C3,amb,4.744698795,2022-05-24,May
Hydrobia,SF131,11,2,C3,amb,4.05373494,2022-05-24,May
Hydrobia,SF131,11,2,C3,amb,3.875060241,2022-05-24,May
Hydrobia,SF131,11,2,C3,amb,3.987710843,2022-05-24,May
Hydrobia,SF131,11,2,C3,amb,4.794578313,2022-05-24,May
Hydrobia,SF131,11,2,C3,amb,5.512168675,2022-05-24,May
Hydrobia,SF131,11,2,C3,amb,4.675421687,2022-05-24,May
Hydrobia,SF131,11,2,C3,amb,4.5874698800000004,2022-05-24,May
Hydrobia,SF131,11,2,C3,amb,2.96,2022-05-24,May
Hydrobia,SF131,11,2,C3,amb,3.428674699,2022-05-24,May
Hydrobia,SF131,11,2,C3,amb,4.054939759,2022-05-24,May
Hydrobia,SF131,11,2,C3,amb,4.344939759,2022-05-24,May
Hydrobia,SF131,11,2,C3,amb,4.227590361,2022-05-24,May
Hydrobia,SF131,11,2,C3,amb,4.108915663,2022-05-24,May
Hydrobia,SF131,11,2,C3,amb,4.414457831,2022-05-24,May
Hydrobia,SF131,11,2,C3,amb,3.027710843,2022-05-24,May
Hydrobia,SF131,11,2,C3,amb,4.357831325,2022-05-24,May
Hydrobia,SF131,11,2,C3,amb,4.996626506,2022-05-24,May
Hydrobia,SF131,11,2,C3,amb,4.564337349,2022-05-24,May
Hydrobia,SF131,11,2,C3,amb,3.560963855,2022-05-24,May
Hydrobia,SF131,11,2,C3,amb,4.922168675,2022-05-24,May
Hydrobia,SF131,11,2,C3,amb,4.147108434,2022-05-24,May
Hydrobia,SF131,11,2,C3,amb,4.433855422,2022-05-24,May
Hydrobia,SF131,11,2,C3,amb,4.13253012,2022-05-24,May
Hydrobia,SF131,11,2,C3,amb,4.644578313,2022-05-24,May
Hydrobia,SF131,11,2,C3,amb,2.688433735,2022-05-24,May
Hydrobia,SF131,11,2,C3,amb,4.657108434,2022-05-24,May
Hydrobia,SF131,11,2,C3,amb,5.090361446,2022-05-24,May
Hydrobia,SF131,11,2,C3,amb,4.630481928,2022-05-24,May
Hydrobia,SF131,11,2,C3,amb,3.77939759,2022-05-24,May
Hydrobia,SF131,11,2,C3,amb,5.259156627,2022-05-24,May
Hydrobia,SF131,11,2,C3,amb,4.077349398,2022-05-24,May
Hydrobia,SF131,11,2,C3,amb,4.299879518,2022-05-24,May
Hydrobia,SF131,11,2,C3,amb,4.191566265,2022-05-24,May
Hydrobia,SF131,11,2,C3,amb,4.047590361,2022-05-24,May
Hydrobia,SF131,11,2,C3,amb,4.667710843,2022-05-24,May
Hydrobia,SF131,11,2,C3,amb,5.132168675,2022-05-24,May
Hydrobia,SF131,12,2,C3,amb,4.265421687,2022-05-24,May
Hydrobia,SF131,12,2,C3,amb,4.209156627,2022-05-24,May
